t,Result
0,0
3,9.4760098919e-13
6,5.31626466446e-10
9,4.47662124835e-09
12,1.10117671655e-08
15,1.71117800224e-08
18,2.18748611598e-08
21,2.54373702328e-08
24,2.80803800674e-08
27,3.00387479847e-08
30,3.14895763621e-08
33,3.25643792561e-08
36,3.33606130425e-08
39,3.39504775559e-08
42,3.43874599362e-08
45,3.47111844458e-08
48,3.4951005461e-08
51,3.51286692388e-08
54,3.52602858025e-08
57,3.5357789751e-08
60,3.54300224527e-08
63,3.54835337542e-08
66,3.55231759014e-08
69,3.55525435263e-08
72,3.5574299598e-08
75,3.55904168923e-08
78,3.56023568776e-08
81,3.56112022362e-08
84,3.56177550391e-08
87,3.56226094748e-08
90,3.56262057293e-08
93,3.56288699001e-08
96,3.56308435635e-08
99,3.56322854197e-08
102,3.56328446968e-08
105,3.56328578175e-08
108,3.56328578192e-08
111,3.56328578192e-08
114,3.56328578192e-08
117,3.56328578192e-08
120,3.56328578192e-08
123,3.56328578192e-08
126,3.56328578192e-08
129,3.56328578192e-08
132,3.56328578192e-08
135,3.56328578192e-08
138,3.56328578192e-08
141,3.56328578192e-08
144,3.56328578192e-08
147,3.56328578192e-08
150,3.56328578192e-08
153,3.56328578192e-08
156,3.56328578192e-08
159,3.56328578192e-08
162,3.56328578192e-08
165,3.56328578192e-08
168,3.56328578192e-08
171,3.56328578192e-08
174,3.56328578192e-08
177,3.56328578192e-08
180,3.56328578192e-08
183,3.56328578192e-08
186,3.56328578192e-08
189,3.56328578192e-08
192,3.56328578192e-08
195,3.56328578192e-08
198,3.56328578192e-08
201,3.56328578192e-08
204,3.56328578192e-08
207,3.56328578192e-08
210,3.56328578192e-08
213,3.56328578192e-08
216,3.56328578192e-08
219,3.56328578192e-08
222,3.56328578192e-08
225,3.56328578192e-08
228,3.56328578192e-08
231,3.56328578192e-08
234,3.56328578192e-08
237,3.56328578192e-08
240,3.56328578192e-08
243,3.56328578192e-08
246,3.56328578192e-08
249,3.56328578192e-08
252,3.56328578192e-08
255,3.56328578192e-08
258,3.56328578192e-08
261,3.56328578192e-08
264,3.56328578192e-08
267,3.56328578192e-08
270,3.56328578192e-08
273,3.56328578192e-08
276,3.56328578192e-08
279,3.56328578192e-08
282,3.56328578192e-08
285,3.56328578192e-08
288,3.56328578192e-08
291,3.56328578192e-08
294,3.56328578192e-08
297,3.56328578192e-08
300,3.56328578192e-08
